year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2013,Scion,xB,Base,Wagon,automatic,jtlze4fe9dj031254,ca,37.0,18293.0,black,black,skyhigh remarketing inc,13800.0,13250.0,Wed Jan 14 2015 04:15:00 GMT-0800 (PST)
2004,Toyota,Camry,LE,sedan,automatic,4t1be32k44u858348,fl,24.0,151255.0,gray,—,courtesy nissan of tampa,3400.0,3100.0,Thu May 28 2015 09:20:00 GMT-0700 (PDT)
2012,Chevrolet,Impala,LT Fleet,Sedan,automatic,2g1wg5e37c1235681,mo,27.0,66166.0,black,gray,cable dahmer of kansas city,8825.0,9800.0,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
2000,Toyota,Celica,GT-S,hatchback,manual,jtddy38t1y0002409,ma,35.0,156899.0,silver,black,nissan 24,2150.0,1900.0,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2012,Infiniti,G Convertible,G37,g convertible,automatic,jn1cv6fe1cm201166,ca,36.0,30474.0,blue,gray,nissan infiniti lt,27100.0,27250.0,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
2012,Mazda,CX-9,Grand Touring,suv,automatic,jm3tb3da9c0337631,mi,36.0,47330.0,blue,black,jpmorgan chase bank n.a.,21200.0,19900.0,Thu Jun 11 2015 02:30:00 GMT-0700 (PDT)
2002,BMW,X5,4.4i,SUV,automatic,5uxfb33522lh30654,ca,28.0,158610.0,silver,silver,aaero sweet company,2825.0,2600.0,Wed Dec 31 2014 11:30:00 GMT-0800 (PST)
2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha6cr108709,ca,31.0,28131.0,blue,tan,ford motor credit company llc pd,12000.0,12200.0,Thu Jan 22 2015 04:00:00 GMT-0800 (PST)
2013,Lexus,GS 350,Base,Sedan,automatic,jthbe1blxd5025759,ga,42.0,22473.0,gray,gray,lexus financial services,34300.0,34200.0,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
2006,Mazda,Mazda3,s,Sedan,automatic,jm1bk324161445564,ny,,104620.0,gray,black,destination nissan,4375.0,3900.0,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
2006,Chevrolet,Impala,SS,Sedan,automatic,2g1wd58c869136281,va,19.0,155617.0,black,beige,sullivan auto trading inc,3725.0,3300.0,Thu May 28 2015 02:35:00 GMT-0700 (PDT)
2014,Chevrolet,Silverado 1500,LTZ,Crew Cab,automatic,3gcuksec6eg504081,co,5.0,5660.0,silver,black,the auto connection,36700.0,37500.0,Wed Dec 17 2014 11:45:00 GMT-0800 (PST)
2013,Chrysler,300,Base,Sedan,automatic,2c3ccaag5dh509786,nj,,34544.0,black,—,john altimari auto co inc,17100.0,16600.0,Wed Dec 17 2014 09:30:00 GMT-0800 (PST)
2005,Honda,CR-V,LX,SUV,automatic,jhlrd68525c015705,ca,25.0,97339.0,gold,beige,aaero sweet company,5750.0,6900.0,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2012,Honda,Civic,LX,Sedan,automatic,19xfb2f52ce026355,ga,37.0,23433.0,gray,gray,ahfc/honda lease trust/hvt  inc. eot,11500.0,11100.0,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap6cc125208,fl,3.0,62104.0,beige,tan,nissan-infiniti lt,10250.0,10200.0,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2013,Ram,1500,Tradesman,Quad Cab,automatic,1c6rr6ft3ds577365,tn,41.0,29899.0,white,gray,chrysler capital,21200.0,22200.0,Tue Mar 10 2015 03:30:00 GMT-0700 (PDT)
2012,Hyundai,Elantra,GLS,Sedan,,kmhdh4ae7cu308271,pa,29.0,35606.0,silver,gray,hyundai motor finance,10450.0,9700.0,Tue Dec 23 2014 09:00:00 GMT-0800 (PST)
2013,Subaru,Legacy,2.5i Limited PZEV,sedan,,4s3bmbk6xd3007231,pa,45.0,34103.0,black,gray,jpmorgan chase bank n.a.,16400.0,17400.0,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
2008,Ford,Explorer,XLT,SUV,,1fmeu63ex8ua85143,fl,22.0,77762.0,brown,gray,sunrise ford company,7775.0,9400.0,Wed Feb 18 2015 01:35:00 GMT-0800 (PST)
2014,Ford,Focus,SE,Sedan,automatic,1fadp3f24el212077,mo,42.0,41533.0,gray,gray,ars/avis budget group,11550.0,11200.0,Tue Feb 17 2015 03:00:00 GMT-0800 (PST)
2013,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb3d7326043,il,35.0,38100.0,gold,gray,avis corporation,11000.0,10700.0,Tue Mar 03 2015 03:15:00 GMT-0800 (PST)
2004,Chrysler,Sebring,LX,Convertible,automatic,1c3el45r74n120080,nc,16.0,93151.0,white,—,dt inventory,1025.0,800.0,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2005,Chevrolet,Malibu Maxx,LS,Hatchback,automatic,1g1zt62855f129837,az,19.0,75714.0,blue,gray,chapman corporate wholesale,3850.0,4100.0,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2010,Lexus,IS 250,Base,sedan,automatic,jthbf5c22a2098051,fl,38.0,50685.0,white,beige,lexus financial services,16500.0,18500.0,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
2012,Ford,Fiesta,SE,Hatchback,automatic,3fadp4ej4cm128349,md,37.0,51714.0,gray,gray,ford motor credit company llc,7600.0,8000.0,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar4dm750369,nj,36.0,23679.0,black,black,nissan infiniti lt,21600.0,21000.0,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
2014,Dodge,Avenger,SE,sedan,automatic,1c3cdzab5en224823,mo,27.0,12907.0,red,black,exeter finance corp,12000.0,11900.0,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
2013,Chrysler,200,Touring,sedan,automatic,1c3ccbbb0dn699139,oh,19.0,58250.0,gray,black,chrysler capital,9275.0,8700.0,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2014,Ram,1500,SLT,Crew Cab,automatic,1c6rr7lt1es280140,fl,48.0,22444.0,blue,gray,tdaf remarketing,25300.0,25800.0,Tue Jun 09 2015 02:00:00 GMT-0700 (PDT)
2010,Toyota,Tundra,Limited,CrewMax Cab,automatic,5tfhy5f14ax113046,pa,4.0,91720.0,white,beige,brookside motors inc,24700.0,23750.0,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
2009,Acura,TL,Base,Sedan,automatic,19uua86549a007607,ca,37.0,129772.0,white,beige,remarketing by ge/xpress rent a car,10350.0,12750.0,Tue Jan 13 2015 12:00:00 GMT-0800 (PST)
2008,Ford,Expedition,Limited,SUV,automatic,1fmfu19508la83146,tx,32.0,99483.0,black,black,wells fargo dealer services,13450.0,14200.0,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
2013,Toyota,Avalon,XLE,Sedan,automatic,4t1bk1eb3du042904,nj,2.0,22694.0,silver,gray,toyota financial services,21100.0,18300.0,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
2012,GMC,Acadia,SL,SUV,automatic,1gkkvned8cj162349,oh,44.0,38268.0,black,gray,fiserv/usb dealer services northstar exchange,19600.0,21600.0,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2008,Chevrolet,Equinox,LS,SUV,automatic,2cndl23f286290406,fl,33.0,57034.0,red,gray,sullivan auto group llc,7850.0,8700.0,Thu Mar 05 2015 01:40:00 GMT-0800 (PST)
2009,Chevrolet,Corvette,Z06,Coupe,manual,1g1yz26e195110295,tx,37.0,27667.0,yellow,black,remarketing services of el paso,38300.0,40250.0,Thu Jan 29 2015 04:00:00 GMT-0800 (PST)
2007,Chrysler,Sebring,Limited,Sedan,automatic,1c3lc66k27n689735,mn,19.0,94855.0,black,gray,santander consumer,5275.0,4200.0,Thu Mar 05 2015 02:45:00 GMT-0800 (PST)
2007,Chrysler,PT Cruiser,Base,Wagon,automatic,3a4fy48b57t550642,nc,19.0,100881.0,silver,gray,national fleet leasing,2000.0,3000.0,Mon Jul 06 2015 06:30:00 GMT-0700 (PDT)
2013,Chrysler,200,Limited,Sedan,automatic,1c3ccbcg0dn507566,tx,38.0,34737.0,black,black,music city autoplex llc,12200.0,13500.0,Wed Jan 28 2015 02:20:00 GMT-0800 (PST)
2012,Ford,Escape,XLT,SUV,automatic,1fmcu9dg7cka01910,tn,41.0,48924.0,gray,gray,ford motor credit company llc,15300.0,15400.0,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
2008,Dodge,Ram Pickup 1500,SLT,quad cab,automatic,1d7hu18288s541032,tx,2.0,165514.0,white,gray,westlake financial services,9475.0,5800.0,Tue Jun 09 2015 03:30:00 GMT-0700 (PDT)
2014,Ford,Fusion,Titanium,Sedan,automatic,3fa6p0k92er279062,tn,45.0,21018.0,—,black,avis budget group,20100.0,19900.0,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
2006,Volkswagen,Passat,2.0T,Sedan,automatic,wvwak93c26p201794,nc,19.0,117108.0,silver,black,regional acceptance corporation / greenville,3650.0,3200.0,Mon Feb 23 2015 01:30:00 GMT-0800 (PST)
2011,Ford,Ranger,SPORT,SuperCab,manual,1ftlr4fexbpa06265,wa,39.0,42189.0,gray,gray,xcar inc,17200.0,16800.0,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2006,Cadillac,STS,V6,Sedan,automatic,1g6dw677060122116,tx,2.0,124681.0,burgundy,brown,southwest business corporation,4575.0,1000.0,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
2013,Kia,Soul,Base,wagon,automatic,kndjt2a59d7630257,fl,49.0,7860.0,gray,black,kia motors finance,11150.0,11600.0,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2013,Mercedes-Benz,GLK-Class,GLK350 4MATIC,SUV,,wdcgg8jb3dg077025,ga,29.0,18061.0,white,black,drivetime,31000.0,28700.0,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
2007,Chevrolet,Tahoe,LT,SUV,automatic,1gnfk13037j243030,ne,,142256.0,beige,tan,woodhouse chevrolet,13050.0,13000.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2004,Toyota,Camry,LE,Sedan,automatic,4t1be32kx4u795532,nc,22.0,272240.0,silver,gray,atlantic coast remarketing inc/jam,1400.0,2700.0,Mon Feb 16 2015 01:30:00 GMT-0800 (PST)
2014,Ford,E-Series Van,E-250,E-Series Van,automatic,1ftne2ew8eda19329,pa,49.0,5276.0,white,gray,u-haul,22600.0,24600.0,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk5g59bnn28386,ca,27.0,25048.0,gray,black,financial services remarketing/rail cars,21000.0,19500.0,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
2004,Scion,xA,Base,Hatchback,automatic,jtkkt624x40071840,ma,25.0,98057.0,white,black,boch toyota/scion south,4200.0,3500.0,Thu Feb 19 2015 18:30:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar7cm670577,il,36.0,62970.0,black,black,infiniti financial services,19900.0,18300.0,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
2014,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk8eu411096,mn,42.0,15232.0,gold,tan,the hertz corporation,15300.0,15200.0,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
2004,Mercedes-Benz,S-Class,S430 4MATIC,sedan,,wdbng83j34a412299,pa,19.0,77001.0,black,black,r hollenshead auto sales inc,9550.0,7600.0,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
2012,Nissan,Pathfinder,SV,SUV,automatic,5n1ar1nn0cc627705,ca,29.0,54826.0,black,gray,balboa thrift & loan association,15900.0,15900.0,Tue Mar 03 2015 04:30:00 GMT-0800 (PST)
2014,Ford,F-150,Lariat,SuperCrew,automatic,1ftfw1ef7efd12901,ga,5.0,13588.0,black,gray,ars/thrifty car rental/greer,35400.0,35400.0,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2009,Chevrolet,Colorado,Work Truck,Extended Cab,automatic,1gccs19e498152387,ca,34.0,62316.0,white,black,wheels exchange llc,11550.0,12100.0,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
2011,Dodge,Grand Caravan,Mainstreet,Minivan,automatic,2d4rn3dg0br792079,ma,29.0,78529.0,silver,black,lease plan usa,9350.0,8800.0,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2013,Chevrolet,Malibu,LT,Sedan,automatic,1g11e5sa1du110278,nj,33.0,62715.0,blue,gray,the hertz corporation,11650.0,11100.0,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
2011,Chevrolet,Equinox,LS,SUV,automatic,2gnalbec9b1178904,nv,38.0,46252.0,silver,gray,chapman chry jeep,12150.0,12600.0,Fri Jan 09 2015 11:45:00 GMT-0800 (PST)
2012,Toyota,Corolla,LE,sedan,,5yfbu4ee4cp017502,fl,37.0,44073.0,gray,gray,world omni financial corporation,9675.0,9800.0,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
2012,BMW,X5,xDrive35i Premium,suv,,5uxzv4c57cl991335,ma,31.0,53092.0,white,brown,financial services remarketing (lease),28400.0,30400.0,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2014,Kia,Optima,LX,sedan,automatic,5xxgm4a74eg343146,nv,44.0,16916.0,brown,gray,kia motors america  inc,14650.0,14700.0,Fri Jun 05 2015 05:00:00 GMT-0700 (PDT)
2008,Honda,CR-V,EX-L,SUV,automatic,5j6re48738l021124,oh,36.0,100312.0,black,black,jr's auto city inc,10800.0,11000.0,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2014,Dodge,Charger,SE,sedan,automatic,2c3cdxbgxeh326321,nv,35.0,18385.0,black,black,bul connections llc,16700.0,15600.0,Fri Jun 05 2015 04:45:00 GMT-0700 (PDT)
2012,Infiniti,M,M37x,Sedan,automatic,jn1by1ar7cm394259,tn,48.0,25129.0,—,tan,nissan infiniti lt,27000.0,28200.0,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
2007,,,,,,1ftrx14w87fb22832,oh,19.0,84307.0,black,gray,santander consumer,11800.0,10800.0,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2008,Volkswagen,GTI,Base,hatchback,automatic,wvwfv71k98w117055,nv,34.0,127870.0,white,gray,bul connections llc,5475.0,6100.0,Fri Jun 19 2015 04:45:00 GMT-0700 (PDT)
2012,Ford,Escape,Limited,SUV,automatic,1fmcu9eg9ckc77505,il,5.0,13504.0,black,black,ford motor credit company llc,20900.0,21900.0,Tue Feb 24 2015 03:00:00 GMT-0800 (PST)
2013,Lincoln,MKZ,Base,sedan,automatic,3ln6l2jk6dr827998,tn,35.0,24764.0,red,beige,ford motor credit company llc,23900.0,23000.0,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
2013,Porsche,911,Carrera 4S,Coupe,automatic,wp0ab2a91ds121816,fl,39.0,22476.0,gray,black,porsche financial services,82000.0,79000.0,Tue Jun 02 2015 05:00:00 GMT-0700 (PDT)
2012,Chrysler,200,Touring,Sedan,automatic,1c3ccbbb2cn172119,ca,37.0,87981.0,black,black,wheels exchange llc,8075.0,9100.0,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2013,Honda,CR-V,EX-L,SUV,automatic,5j6rm4h73dl014896,tn,43.0,40911.0,white,tan,sullivan auto group llc,21400.0,21800.0,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2013,Chevrolet,Impala,LS Fleet,Sedan,automatic,2g1wf5e38d1216027,pa,37.0,60736.0,silver,black,the hertz corporation,9075.0,8200.0,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
2012,Chrysler,200,LX,sedan,automatic,1c3ccbab6cn169063,in,4.0,69117.0,blue,tan,santander consumer,8000.0,8000.0,Thu Jun 18 2015 03:10:00 GMT-0700 (PDT)
2013,Dodge,Avenger,SE,Sedan,automatic,1c3cdzag5dn664485,il,41.0,15438.0,white,black,santander consumer,11450.0,11700.0,Tue Jan 13 2015 10:00:00 GMT-0800 (PST)
2012,Mercedes-Benz,C-Class,C250,Coupe,automatic,wddgj4hb8cf858686,nv,37.0,29058.0,—,black,mercedes-benz financial services,22000.0,22250.0,Thu Feb 19 2015 14:00:00 GMT-0800 (PST)
2013,Ford,Edge,Limited,SUV,automatic,2fmdk4kc0dbb27907,ny,41.0,22770.0,white,black,ford motor credit company llc,25400.0,25300.0,Wed Jan 28 2015 01:20:00 GMT-0800 (PST)
2014,Ram,2500,SLT,Crew Cab,,3c6ur5dl3eg213382,pa,36.0,21092.0,white,gray,tdaf remarketing,35700.0,34000.0,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
2001,BMW,3 Series,330Ci,Coupe,automatic,wbabn53481ju33872,nc,35.0,208628.0,blue,gray,hendrick bmw,1550.0,2300.0,Wed Jan 07 2015 14:30:00 GMT-0800 (PST)
2014,Ford,Edge,Limited,SUV,automatic,2fmdk4kc7eba50969,il,5.0,28843.0,black,black,enterprise/ars,25200.0,27800.0,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
2011,Chevrolet,Impala,LT Fleet,Sedan,automatic,2g1wg5ek8b1288783,va,36.0,55176.0,gray,black,fiserv,8900.0,8800.0,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
2014,Ford,Flex,SEL,wagon,automatic,2fmgk5c8xebd10729,ga,34.0,30376.0,white,black,ford motor credit company,23600.0,20500.0,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2014,Infiniti,QX60,Hybrid,SUV,automatic,5n1cl0mm7ec528833,tx,47.0,14384.0,gray,black,nissan north america inc.,40500.0,36400.0,Wed May 13 2015 03:30:00 GMT-0700 (PDT)
2008,,,,,automatic,1gbdv13198d148766,pr,36.0,98443.0,white,gray,ge fleet services for itself/servicer,3650.0,2000.0,Wed Jan 14 2015 16:00:00 GMT-0800 (PST)
2007,Saab,9-7X,4.2i,SUV,automatic,5s3et13sx72801947,va,27.0,74081.0,gray,gray,gm financial,4925.0,6400.0,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap6bc840804,fl,33.0,50586.0,gray,black,nissan-infiniti lt,15600.0,14200.0,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2013,Toyota,Prius c,One,Hatchback,automatic,jtdkdtb35d1541325,fl,49.0,12076.0,white,gray,world omni financial corporation,14600.0,15400.0,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2005,Nissan,Altima,3.5 SE-R,Sedan,manual,1n4bl11d35c365646,pa,2.0,92541.0,gray,gray,united imports inc,5450.0,800.0,Fri Apr 17 2015 01:29:00 GMT-0700 (PDT)
2011,Mercedes-Benz,M-Class,ML350 4MATIC,SUV,,4jgbb8gb3ba677237,pa,2.0,32884.0,silver,gray,mercedes-benz financial services,27300.0,23200.0,Fri Feb 06 2015 00:27:00 GMT-0800 (PST)
2012,Ford,Focus,SEL,Hatchback,automatic,1fahp3m23cl436829,la,35.0,57644.0,gray,black,dollar thrifty auto group,9450.0,9300.0,Wed Feb 11 2015 03:00:00 GMT-0800 (PST)
2010,Dodge,Ram Pickup 1500,ST,quad cab,automatic,1d7rv1gt0as243415,co,27.0,143473.0,red,black,dcm sales ltd,12600.0,14300.0,Wed Jun 17 2015 04:45:00 GMT-0700 (PDT)
2013,Chevrolet,Sonic,LT,Hatchback,automatic,1g1jc6sh0d4192089,sc,37.0,50933.0,gray,black,the hertz corporation,7975.0,8200.0,Thu Jun 04 2015 02:15:00 GMT-0700 (PDT)
2008,Buick,Lucerne,CXL,Sedan,automatic,1g4hd57228u141597,tx,25.0,96035.0,black,gray,westfall auto sales,7325.0,7700.0,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg5er392418,fl,4.0,13543.0,silver,beige,enterprise holdings/gdp,17200.0,17500.0,Mon Feb 16 2015 04:30:00 GMT-0800 (PST)
2014,Volkswagen,Jetta Hybrid,Base,Sedan,,3vw637aj8em231831,pa,39.0,25121.0,blue,tan,alans autos,19650.0,14800.0,Fri May 15 2015 02:00:00 GMT-0700 (PDT)
2012,Infiniti,M,M37x,Sedan,automatic,jn1by1ar7cm392771,il,44.0,41044.0,white,black,nissan dealer blend/continental motors,24200.0,26700.0,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2005,Chevrolet,Equinox,LS,SUV,automatic,2cndl13f356120254,ga,29.0,167382.0,white,gray,autonation honda thornton road,2400.0,2900.0,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
2006,Dodge,Grand Caravan,SXT,Minivan,automatic,2d4gp44l96r792706,oh,2.0,108859.0,green,gray,car now acceptance co/columbus,3250.0,1300.0,Thu Jan 15 2015 01:00:00 GMT-0800 (PST)
2006,Dodge,Dakota,SLT,Quad Cab,automatic,1d7hw48n26s627066,ny,29.0,119931.0,red,gray,glens falls national bank & trust co,7475.0,6900.0,Thu Feb 26 2015 01:15:00 GMT-0800 (PST)
2014,Ford,Edge,SEL,SUV,,2fmdk4jc9eba92058,on,49.0,16917.0,silver,black,ford motor company of canada,28500.0,28400.0,Tue Feb 10 2015 02:00:00 GMT-0800 (PST)
2006,Chevrolet,Silverado 1500,LS2,Crew Cab,automatic,2gcek13v461229727,oh,26.0,169776.0,burgundy,gray,santander consumer,7325.0,6000.0,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
2012,Hyundai,Sonata Hybrid,Base,Sedan,automatic,kmhec4a41ca042435,oh,37.0,21704.0,blue,gray,hyundai motor finance,14500.0,15200.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
2011,Toyota,Camry,LE,Sedan,automatic,4t1bf3ek3bu691776,pa,36.0,106580.0,gray,gray,lease plan usa,8475.0,7700.0,Wed Jan 28 2015 01:30:00 GMT-0800 (PST)
2013,Ram,1500,Tradesman,crew cab,automatic,1c6rr7kt2ds721094,wa,32.0,36001.0,black,gray,wells fargo dealer services,24800.0,24500.0,Wed Jun 17 2015 05:50:00 GMT-0700 (PDT)
2008,Mercedes-Benz,E-Class,E350,sedan,automatic,wdbuf56x08b354732,ca,43.0,82441.0,brown,tan,mercedes benz of temecula,12200.0,12800.0,Wed May 27 2015 05:15:00 GMT-0700 (PDT)
2013,Jeep,Wrangler,Sport,SUV,manual,1c4ajwag5dl665996,tx,5.0,5184.0,gray,gray,genuine motorcars inc,23400.0,22250.0,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
2009,Mercedes-Benz,C-Class,C300 Luxury,Sedan,automatic,wddgf54xx9f269544,fl,29.0,75279.0,white,gray,braman motors,13850.0,13400.0,Thu Dec 18 2014 09:15:00 GMT-0800 (PST)
2005,Cadillac,DeVille,Base,Sedan,automatic,1g6kd54y35u198389,va,25.0,76245.0,white,blue,nextgear capital,3875.0,3900.0,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
2002,Subaru,Outback,VDC,wagon,automatic,4s3bh896227652426,ca,32.0,52435.0,green,beige,high bid trading co inc,5450.0,6500.0,Wed Jun 03 2015 05:15:00 GMT-0700 (PDT)
2013,Ford,Mustang,V6,Convertible,automatic,1zvbp8em8d5264880,az,29.0,60160.0,gray,black,the hertz corporation,12700.0,12900.0,Thu Feb 12 2015 03:30:00 GMT-0800 (PST)
2012,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg1cr122762,il,3.0,72587.0,black,black,gateway one lending & finance,10050.0,10500.0,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
2013,Kia,Optima,LX,Sedan,automatic,5xxgm4a72dg222467,tx,41.0,58521.0,white,beige,dtg operations inc,11700.0,12100.0,Fri Feb 13 2015 02:30:00 GMT-0800 (PST)
2014,Chevrolet,Captiva Sport,LTZ Fleet,SUV,automatic,3gnal4ek7es649461,fl,42.0,20808.0,white,black,prestige leasing and sales inc,17500.0,17000.0,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
2013,Kia,Optima,LX,Sedan,automatic,5xxgm4a73dg246275,oh,35.0,46926.0,red,beige,colonial auto sales,12250.0,12100.0,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2014,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae6eh482107,fl,4.0,26255.0,gray,gray,southeastern car & truck rental,12600.0,12800.0,Tue Feb 10 2015 02:15:00 GMT-0800 (PST)
2014,BMW,X1,sDrive28i,SUV,automatic,wbavm1c5xevw49478,fl,22.0,15733.0,gray,black,financial services remarketing (lease),26400.0,20200.0,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2014,Ford,F-150,Lariat,SuperCrew,automatic,1ftfw1ef6efd12873,ga,5.0,13565.0,black,black,ars/thrifty car rental/greer,35400.0,36400.0,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2006,Chrysler,PT Cruiser,Touring,Wagon,automatic,3a4fy58b86t350746,ca,24.0,112170.0,silver,gray,first credit finance,2100.0,2300.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Ford,Escape,XLT,SUV,automatic,1fmcu0dg7ckc48047,az,34.0,91317.0,black,beige,ge fleet services for itself/servicer,9500.0,8800.0,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
2014,Ford,E-Series Van,E-250,e-series van,,1ftne2ew9eda31067,pa,42.0,10221.0,white,gray,u-haul,20000.0,20000.0,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
2012,Honda,Accord,EX,Sedan,automatic,1hgcp2f76ca131488,pa,32.0,20111.0,black,beige,ahfc/honda lease trust/hvt  inc. eot,14100.0,13200.0,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
2013,Toyota,Camry,LE,sedan,automatic,4t1bf1fk7du663551,oh,34.0,49644.0,white,gray,the hertz corporation,11900.0,11700.0,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2008,BMW,5 Series,535i,Sedan,automatic,wbanw13598cz72026,ca,38.0,54265.0,black,black,bmw north scottsdale,14750.0,15000.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2011,Dodge,Charger,Base,Sedan,automatic,2b3cl3cg1bh513465,tx,34.0,44770.0,red,black,chrysler capital,15250.0,16800.0,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2013,Chevrolet,Malibu,LT,Sedan,automatic,1g11c5saxdf241669,pa,3.0,42451.0,white,black,the hertz corporation,12800.0,11400.0,Fri Jan 02 2015 09:00:00 GMT-0800 (PST)
2005,Toyota,Sienna,LE 7-Passenger,Minivan,automatic,5tdba23c95s044414,md,29.0,160964.0,beige,gray,amber auto,4550.0,5300.0,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
2002,Ford,Taurus,SES,Sedan,automatic,1fafp55u42a267322,ga,27.0,128695.0,gray,gray,rick hendrick chevrolet of buford,1225.0,2100.0,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
2011,Hyundai,Santa Fe,SE,SUV,automatic,5xyzh4ag3bg045210,fl,36.0,59822.0,silver,gray,tdaf remarketing,12100.0,14700.0,Tue Jan 06 2015 01:00:00 GMT-0800 (PST)
2014,Chevrolet,Impala Limited,LTZ Fleet,Sedan,automatic,2g1wc5e31e1149703,fl,3.0,15545.0,silver,black,gm remarketing,14850.0,14800.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
